answer_content,word_id,correct
D,1,TRUE
S,1,FALSE
S,1,FALSE
S,1,FALSE
D,2,TRUE
S,2,FALSE
S,2,FALSE
S,2,FALSE
D,3,TRUE
S,3,FALSE
S,3,FALSE
S,3,FALSE
D,4,TRUE
S,4,FALSE
S,4,FALSE
S,4,FALSE
D,5,TRUE
S,5,FALSE
S,5,FALSE
S,5,FALSE
D,6,TRUE
S,6,FALSE
S,6,FALSE
S,6,FALSE
D,7,TRUE
S,7,FALSE
S,7,FALSE
S,7,FALSE
D,8,TRUE
S,8,FALSE
S,8,FALSE
S,8,FALSE
D,9,TRUE
S,9,FALSE
S,9,FALSE
S,9,FALSE
D,10,TRUE
S,10,FALSE
S,10,FALSE
S,10,FALSE
D,11,TRUE
S,11,FALSE
S,11,FALSE
S,11,FALSE
D,12,TRUE
S,12,FALSE
S,12,FALSE
S,12,FALSE
D,13,TRUE
S,13,FALSE
S,13,FALSE
S,13,FALSE
D,14,TRUE
S,14,FALSE
S,14,FALSE
S,14,FALSE
D,15,TRUE
S,15,FALSE
S,15,FALSE
S,15,FALSE
D,16,TRUE
S,16,FALSE
S,16,FALSE
S,16,FALSE
D,17,TRUE
S,17,FALSE
S,17,FALSE
S,17,FALSE
D,18,TRUE
S,18,FALSE
S,18,FALSE
S,18,FALSE
D,19,TRUE
S,19,FALSE
S,19,FALSE
S,19,FALSE
D,20,TRUE
S,20,FALSE
S,20,FALSE
S,20,FALSE
D,21,TRUE
S,21,FALSE
S,21,FALSE
S,21,FALSE
D,22,TRUE
S,22,FALSE
S,22,FALSE
S,22,FALSE
D,23,TRUE
S,23,FALSE
S,23,FALSE
S,23,FALSE
D,24,TRUE
S,24,FALSE
S,24,FALSE
S,24,FALSE
D,25,TRUE
S,25,FALSE
S,25,FALSE
S,25,FALSE
D,26,TRUE
S,26,FALSE
S,26,FALSE
S,26,FALSE
D,27,TRUE
S,27,FALSE
S,27,FALSE
S,27,FALSE
D,28,TRUE
S,28,FALSE
S,28,FALSE
S,28,FALSE
D,29,TRUE
S,29,FALSE
S,29,FALSE
S,29,FALSE
D,30,TRUE
S,30,FALSE
S,30,FALSE
S,30,FALSE
D,31,TRUE
S,31,FALSE
S,31,FALSE
S,31,FALSE
D,32,TRUE
S,32,FALSE
S,32,FALSE
S,32,FALSE
D,33,TRUE
S,33,FALSE
S,33,FALSE
S,33,FALSE
D,34,TRUE
S,34,FALSE
S,34,FALSE
S,34,FALSE
D,35,TRUE
S,35,FALSE
S,35,FALSE
S,35,FALSE
D,36,TRUE
S,36,FALSE
S,36,FALSE
S,36,FALSE
D,37,TRUE
S,37,FALSE
S,37,FALSE
S,37,FALSE
D,38,TRUE
S,38,FALSE
S,38,FALSE
S,38,FALSE
D,39,TRUE
S,39,FALSE
S,39,FALSE
S,39,FALSE
D,40,TRUE
S,40,FALSE
S,40,FALSE
S,40,FALSE
